antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
rich,video,0.5,0.0019230769230769232,0.0019230769230769232,0.0038461538461538464,2.0,0.0009615384615384616,1.0019305019305018
rich,manufacturer,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,permanent resident of,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,list of works,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,medical condition,0.5,0.0033653846153846156,0.0033653846153846156,0.006730769230769231,2.0,0.0016826923076923078,1.0033881897386254
rich,handedness,0.5,0.0009615384615384616,0.0009615384615384616,0.0019230769230769232,2.0,0.0004807692307692308,1.0009633911368014
rich,official name,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,founded by,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,blood type,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,discoverer or inventor,0.5,0.0009615384615384616,0.0009615384615384616,0.0019230769230769232,2.0,0.0004807692307692308,1.0009633911368014
rich,academic thesis,0.5,0.019951923076923075,0.019951923076923075,0.03990384615384615,2.0,0.009975961538461538,1.0207811717576365
rich,work period (end),0.5,0.0014423076923076924,0.0014423076923076924,0.0028846153846153848,2.0,0.0007211538461538462,1.001446480231437
rich,Commons Creator page,0.5,0.005048076923076923,0.005048076923076923,0.010096153846153847,2.0,0.0025240384615384617,1.0050995628946089
rich,signature,0.5,0.00985576923076923,0.00985576923076923,0.01971153846153846,2.0,0.004927884615384615,1.0100539480137323
rich,height,0.5,0.0026442307692307694,0.0026442307692307694,0.005288461538461539,2.0,0.0013221153846153847,1.002658289028516
rich,nickname,0.5,0.007211538461538462,0.007211538461538462,0.014423076923076924,2.0,0.003605769230769231,1.0073170731707317
rich,relative,0.5,0.005048076923076923,0.005048076923076923,0.010096153846153847,2.0,0.0025240384615384617,1.0050995628946089
rich,unmarried partner,0.5,0.0019230769230769232,0.0019230769230769232,0.0038461538461538464,2.0,0.0009615384615384616,1.0019305019305018
rich,religion or worldview,0.5,0.018990384615384614,0.018990384615384614,0.03798076923076923,2.0,0.009495192307692307,1.0197401299350324
rich,genre,0.5,0.003605769230769231,0.003605769230769231,0.007211538461538462,2.0,0.0018028846153846155,1.0036319612590798
rich,instrument,0.5,0.0028846153846153848,0.0028846153846153848,0.0057692307692307696,2.0,0.0014423076923076924,1.0029013539651837
rich,title of chess person,0.5,0.0009615384615384616,0.0009615384615384616,0.0019230769230769232,2.0,0.0004807692307692308,1.0009633911368014
rich,conflict,0.5,0.00625,0.00625,0.0125,2.0,0.003125,1.0063291139240507
rich,work location,0.5,0.0641826923076923,0.0641826923076923,0.1283653846153846,2.0,0.03209134615384615,1.0736348593491452
rich,product or material produced or service provided,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,manner of inhumane treatment,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
rich,owner of,0.5,0.007211538461538462,0.007211538461538462,0.014423076923076924,2.0,0.003605769230769231,1.0073170731707317
rich,Erdős number,0.5,0.07668269230769231,0.07668269230769231,0.15336538461538463,2.0,0.038341346153846156,1.0905735377626349
rich,charge,0.5,0.0004807692307692308,0.0004807692307692308,0.0009615384615384616,2.0,0.0002403846153846154,1.0004812319538017
rich,religious order,0.5,0.0002403846153846154,0.0002403846153846154,0.0004807692307692308,2.0,0.0001201923076923077,1.0002405002405002
