antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
rich,official website,0.5,0.8,0.475,0.95,1.1874999999999998,0.07499999999999996,3.9999999999999956
rich,geoshape,0.5,0.85,0.5,1.0,1.1764705882352942,0.07500000000000001,inf
rich,part of,0.5,0.85,0.5,1.0,1.1764705882352942,0.07500000000000001,inf
rich,contains the administrative territorial entity,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,driving side,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,shares border with,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,country,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,native label,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,page banner,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,nominal GDP,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,has quality,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,Wikimedia outline,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,on focus list of Wikimedia project,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,culture,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,category for people born here,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,topic's main Wikimedia portal,0.5,0.875,0.5,1.0,1.1428571428571428,0.0625,inf
rich,number of out-of-school children,0.5,0.75,0.425,0.85,1.1333333333333333,0.04999999999999999,1.6666666666666665
rich,central bank,0.5,0.85,0.475,0.95,1.1176470588235294,0.04999999999999999,2.999999999999998
rich,top-level Internet domain,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,category of associated people,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,history of topic,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,category for maps,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,category for people who died here,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,emergency phone number,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,coordinates of easternmost point,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,coordinates of westernmost point,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,geography of topic,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,maritime identification digits,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,Human Development Index,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,pronunciation audio,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,lowest point,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,legislative body,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,highest point,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,coordinates of northernmost point,0.5,0.9,0.5,1.0,1.1111111111111112,0.04999999999999999,inf
rich,marriageable age,0.5,0.725,0.4,0.8,1.103448275862069,0.03750000000000003,1.3750000000000004
rich,currency,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,coat of arms,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,member of,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,population,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,head of government,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,language used,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,office held by head of government,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,official name,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,locator map image,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,diplomatic relation,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,economy of topic,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,head of state,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,country calling code,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,area,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,anthem,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,located in time zone,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,hashtag,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,office held by head of state,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,Commons category,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,coat of arms image,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,Unicode character,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,demographics of topic,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,flag image,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,short name,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,official language,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,flag,0.5,0.925,0.5,1.0,1.081081081081081,0.03749999999999998,inf
rich,follows,0.5,0.325,0.175,0.35,1.0769230769230769,0.012499999999999983,1.0384615384615385
rich,motto text,0.5,0.85,0.45,0.9,1.0588235294117647,0.025000000000000022,1.5000000000000007
rich,coordinate location,0.5,0.95,0.5,1.0,1.0526315789473684,0.025000000000000022,inf
rich,topic's main category,0.5,0.95,0.5,1.0,1.0526315789473684,0.025000000000000022,inf
rich,demonym,0.5,0.95,0.5,1.0,1.0526315789473684,0.025000000000000022,inf
rich,capital,0.5,0.975,0.5,1.0,1.0256410256410258,0.012500000000000011,inf
rich,continent,0.5,0.975,0.5,1.0,1.0256410256410258,0.012500000000000011,inf
rich,founded by,0.5,0.05,0.025,0.05,1.0,0.0,1.0
rich,location of formation,0.5,0.05,0.025,0.05,1.0,0.0,1.0
rich,category for the view of the item,0.5,0.05,0.025,0.05,1.0,0.0,1.0
rich,inception,0.5,1.0,0.5,1.0,1.0,0.0,inf
rich,official observer status in organisation,0.5,0.05,0.025,0.05,1.0,0.0,1.0
rich,instance of,0.5,1.0,0.5,1.0,1.0,0.0,inf
rich,located in/on physical feature,0.5,0.575,0.275,0.55,0.9565217391304349,-0.012499999999999956,0.9444444444444446
rich,owner of,0.5,0.125,0.05,0.1,0.8,-0.012499999999999997,0.9722222222222222
rich,twinned administrative body,0.5,0.1,0.025,0.05,0.5,-0.025,0.9473684210526316
rich,located in the administrative territorial entity,0.5,0.075,0.0,0.0,0.0,0.0,0.925
rich,replaced by,0.5,0.05,0.0,0.0,0.0,0.0,0.95
rich,time of discovery or invention,0.5,0.025,0.0,0.0,0.0,0.0,0.975
rich,"dissolved, abolished or demolished date",0.5,0.075,0.0,0.0,0.0,0.0,0.925
rich,edition or translation of,0.5,0.025,0.0,0.0,0.0,0.0,0.975
rich,related category,0.5,0.025,0.0,0.0,0.0,0.0,0.975
rich,authority,0.5,0.025,0.0,0.0,0.0,0.0,0.975
